Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
Kindertagesstätte St. Josef ;Pestalozzistr. 2 b;51427;Bergisch Gladbach;info@steuerberater-bausche.de;02203-977080;St. Vinzenz Pallotti Stiftung;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertageststätte St. Laurentius;Dr. Robert-Koch-Str. 17;51465;Bergisch Gladbach;kita.laurentius@pv-gl-mitte.de;02202 34728;Kath. Kirchengemeinde St. Laurentius;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Familienzentrum St. Marien Grona;Mülheimer Str. 217;51469;Bergisch Gladbach;kita@kjw-rheinberg.de;02202 - 55695;Katholische Jugendagentur Leverkusen. Rhein-Berg. Oberberg gGmbH;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Quirlsberg;Quirlsberg 6;51465;Bergisch Gladbach;kita-quirl@netcologne.de;02202 / 3 74 75;Ev. Kirchengemeinde Bergisch Gladbach;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath.Kindertagesstätte St. Clemens Paffrath;Pannenberg 25;51469;Bergisch Gladbach;kita.st.clemens@freenet.de ;02202 55991 ;Katholischer kirchengemeindeverband Bergisch Gladbach-West;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte Heilige Drei Könige;Hebborner Kirchweg 1;51467;Bergisch Gladbach;kita.dreikoenige@pv-gl-mitte.de;02202 32102;Kath. Kirchengemeinde St. Laurentius;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Heidkamp;Martin-Luther-Straße 11;51469;Bergisch Gladbach;KitaHeidkamp@ZumFriedenGottes.de;02202 / 3 58 98;Ev. Kirchengemeinde Bergisch Gladbach;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte Kaule;Kaule 60;51429;Bergisch Gladbach;kitakaule@t-online.de;02204 54842;Kath. Kirchengemeindeverband Bensberg / Moitzfeld;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte St. Joseph;Am Winkel 1b;51429;Bergisch Gladbach;kita-st.joseph@gmx.de;02204 81858;Kath. Kirchengemeindeverband Bensberg / Moitzfeld;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Arche Noah Kippekausen;An der Wallburg 1 a;51427;Bergisch Gladbach;Kita_Archenoah@gmx.com;02204 / 6 40 26;Ev. Kirchengemeinde Bensberg;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath.Kindertagesstätte Herz Jesu Schildgen;Altenberger-Dom-Straße 136;51467;Bergisch Gladbach;familienzentrum-schildgen@netcologne.de ;02202 82358 ;Katholischer kirchengemeindeverband Bergisch Gladbach-West;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte St. Antonius Abbas Herkenrath;Ball 15;51429;Bergisch Gladbach;kita.antonius@joseph-und-antonius.de;02204 82907;Kath. Kirchengemeinde St. Joseph und St. Antonius;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Caritas-Kindertagesstätte Bensberg;Friedhofsweg 11;51429;Bergisch Gladbach;kita-bensberg@caritas-rheinberg.de;02204-1881;Caritasverband für den Rheinisch Bergischen Kreis e.V;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Hand;Theodor-Fliedner-Straße 2-4;51469;Bergisch Gladbach;kindergarten.evangelisch@web.de;02202 / 5 16 70;Ev. Kirchengemeinde Bergisch Gladbach;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. integrative Kindertagesstätte  St. Elisabeth Refrath;Im Feld 21;51427;Bergisch Gladbach;kita_st_elisabeth1967@yahoo.de ;02204 63165 ;Kath.Kirchengemeinde St. Johann Baptist;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte St. Joseph;Lerbacher Weg 6;51469;Bergisch Gladbach - Heidkamp;kita.joseph@joseph-und-antonius.de;02202 36305;Kath. Kirchengemeinde St. Joseph und St. Antonius;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
FRÖBEL Kindergarten Pusteblume;Beethovenstr. 21;51427;Bergisch Gladbach;pusteblume-bgl@froebel-gruppe.de;02204-249240;FRÖBEL NRWgGmbH;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte St. Maria Königin Frankenforst;Im Hain 31;51427;Bergisch Gladbach;kita-maria-koenigin@gmx.de;02204 68051 ;Kath.Kirchengemeinde St. Johann Baptist;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Caritas-Kindertagesstätte Katterbach;Im Scheurenfeld 8;51467;Bergisch Gladbach;kita-katterbach@caritas-rheinberg.de;02202 84043;Caritasverband für den Rheinisch Bergischen Kreis e.V;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Bensberg;Dariusstraße 5;51429;Bergisch Gladbach;Ev.Kita-Bensberg@freenet.de;02204 / 5 50 08;Ev. Kirchengemeinde Bensberg;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Bensberger Kindergartenverein e.V.;Strassen 50;51429;Bergisch Gladbach;verwaltung@bensberger-kindergartenverein.de;nicht vorhanden;Bensberger Kindergartenverein e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath.Montessori Kindertagesstätte St.Severin Sand;Herkenrather Straße 10;51465;Bergisch Gladbach;kita.severin@joseph-und-antonius.de;02202 34520;Kath. Kirchengemeinde St. Joseph und St. Antonius;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"AWO Familienzentrum &quot;Haus der Kinder&quot;";Ahornweg 70a;51469;Bergisch Gladbach;fz-ahornweg@awo-rhein-oberberg.de;02202-31792;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kindergarten Klutstein e.V.;Klutstein 41;51467;Bergisch Gladbach;kiga-klutstein@gmx.de;02202 / 56075;Kindergarten Klutstein e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"Kindertagesstätte &quot;Bollerwagen&quot;";Halbenmorgen 5;51427;Bergisch Gladbach;bollerwagen@netcologne.de;02204-61633;Elterninitiative Boller- wagen e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Integrative Kita Giraffenbären e.V.;Iddelsfeld 4;51427;Bergisch Gladbach;giraffenbaeren@t-online.de;02204-67420;Integrative Kita Giraffenbären e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kath. Kindertagesstätte St Johann Baptist Refrath;Kirchplatz 18;51427;Bergisch Gladbach;kita-johann-baptist@t-online.de ;02204 61948 ;Kath.Kirchengemeinde St. Johann Baptist;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Elternverein Kippekausen e.V.;An der Wallburg 22a;51427;Bergisch Gladbach;meyer1967@gmx.de;02204-68082;Elternverein Kippekausen e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Bensberger Kindergartenverein e.V.;Diakonissenweg 35;51429;Bergisch Gladbach;verwaltung@bensberger-kindergartenverein.de;nicht vorhanden;Bensberger Kindergartenverein e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kindertagesstätte Dreckspatz e.V.;Hoppersheider Weg 24a;51467;Bergisch Gladbach;info@kita-dreckspatz.de;220283417;Elterninitiative Dreckspatz e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Montessori Kindergarten Wohnpark Bensberg;Reginharstr. 13;51429;Bergisch Gladbach;kita-wohnpark@gmx.de;02204-54286;Montessori-Elternverein e.V. ;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kindergarten Am Golfplatz e.V.;Robert-Schuman-Str. 6;51469;Bergisch Gladbach;info@kiga-am-golfplatz.de;02202/36428;Verein Kindergarten am Golfplatz e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Robin Hood Elternverein e.V.;Am Fürstenbrünnchen 5;51429;Bergisch Gladbach;kita-robin-hood@gmx.de;02202-38483;Robin Hood Elternverein e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"Kindertagesstätte &quot;Tausendfüßler&quot;";Thorner Straße 23;51469;Bergisch Gladbach;info@tausendfuessler-hand.de;(02202) 242463;"Kinder-Elternverein &quot;Tausendfüßler&quot; e.V.";nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"AWO Kindertagesstätte &quot;Villa Wichtel&quot;";Kardinal-Schulte-Straße 27;51429;Bergisch Gladbach;kita-bensberg@awo-rhein-oberberg.de;02204-85331;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"Kindertagesstätte &quot;Moitzfelder Tausendfüßler e. V.&quot;";Max-Baermann-Straße 48;51429;Bergisch Gladbach ;kitamota@moitzfelder-tausendfuessler.de;02204-307347;Moitzfelder Tausendfüßler e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"Kindertagesstätte &quot;Wilde Wiese&quot;";Jägerstr. 50;51467;Bergisch Gladbach;lohre.wilde-wiese@t-online.de;02202 30129;Elternverein Hebborn-Rommerscheid e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Waldorfkindertagesstätte Refrath;An der Wolfsmaar 9;51427;Bergisch Gladbach;m.schierer@waldorf-kinderhaus.de;02204-22194;Freunde der Waldorfpädagogik Bergisch Gladbach e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"AWO-Kindertagesstätte &quot;Margerite&quot;";Margaretenhöhe 24;51465;Bergisch Gladbach;kita-margaretenhoehe@awo-rhein-oberberg.de;02202-43590;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Schneckenhaus;Schüllenbusch 4;51467;Bergisch Gladbach;Kita@Andreaskirche-Schildgen.de;02202 / 8 51 99;Ev. Kirchengemeinde Altenberg/Schildgen;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"Kindertagesstätte &quot;Flic Flac&quot;";Langemarckweg 24;51465;Bergisch Gladbach;flicflac@TS79.de;02202 - 43935;Turnerschaft Bergisch Gladbach 1879 e. V.;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Caritas-Kindertagesstätte Ferrenbergstr.;Ferrenbergstr. 96;51465;Bergisch Gladbach;kita-ferrenberg@caritas-rheinberg.de;02202-39527;Caritasverband für den Rheinisch Bergischen Kreis e.V;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"Kindertagesstätte &quot;Lehmpöhler Waldkinder&quot;";Karl-Philipp-Str. 18;51429;Bergisch Gladbach;lehmpoehle@montessori-kita.de;02204-57551;Montessori-Elternverein e.V. ;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Ev. Kindertagesstätte Heilsbrunner Hosenmätze;Olpensgut 20;51467;Bergisch Gladbach;kita-hosenmaetze@gmx.de;02202 / 4 47 26;Ev. Elterninitiative Heilsbrunner Hosenmätze e.V.;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO Familienzentrum Gronau-Hand;Damaschkestraße 21;51469;Bergisch Gladbach;fz-gronau-hand@awo-rhein-oberberg.de;02202-21629;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Herkenrather Farbkleckse;Asselborner Weg 44;51429;Bergisch Gladbach;m.stoppenbach@herkenrather-farbkleckse.de;02204/85059;Herkenrather Elternverein e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Kindertagesstätte Krebsweg;Krebsweg 12;51427;Bergisch Gladbach;kita-krebsweg@awo-rhein-oberberg.de;02204-25558;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Evangelische Kindertagesstätte Gronau;Kradepohlsmühlenweg 4;51469;Bergisch Gladbach;kitakradepohl@web.de;02202 / 5 50 89;Ev. Kindergartenverein Gronau e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
"AWO-Kindertagesstätte &quot;Kunterbunt&quot;";Hans-Zanders-Straße 26;51465;Bergisch Gladbach;kita-kunterbunt@awo-rhein-oberberg.de;02202-932617;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Kindertagesstätte Pannenberg ;Pannenberg 134;51469;Bergisch Gladbach;kita-pannenberg@awo-rhein-oberberg.de;02202-55340;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Kindertagesstätte Rheinhöhenweg;Rheinhöhenweg 9;51469;Bergisch Gladbach;kita-rheinhoehenweg@awo-rhein-oberberg.de;02202-45680;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Waldorfkinderhaus;Paffrather Str. 38;51465;Bergisch Gladbach;info@waldorf-kinderhaus.de;02202 - 30819;Freunde der Waldorfpädagogik Bergisch Gladbach e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Montessori-Kinderhaus Rabauken e. V.;Drecker Wiese 26;51469;Bergisch Gladbach;rabauken-kita@web.de;02202/54891;Rabauken e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Kindertagesstätte Wittenbergstraße;Wittenbergstraße 1a;51427;Bergisch Gladbach;kita-wittenberg@awo-rhein-oberberg.de;02204-249363;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Kindertagesstätte Herrenstrunden;Herrenstrunden 24;51465;Bergisch Gladbach;kita-herrenstrunden@awo-rhein-oberberg.de;02202-458753;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Integrative Kindertagesstätte Caritas-Haus;Cederwaldstraße 22;51465;Bergisch Galdbach;kita-cederwald@caritas-rheinberg.de;02202-1008401;Caritasverband für den Rheinisch Bergischen Kreis e.V;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO Waldkindergarten Nußbaum;Pannenberg 134;51469;Bergisch Gladbach;waldkiga-nussbaum@awo-rhein-oberberg.de;02202-245863 und 0171-5336326;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
DRK-Kindertagesstätte Franz-Heider Straße;Franz-Heider Str. 58;51469;Bergisch Gladbach;kindergarten@rhein-berg.drk.de;02202/129620;DRK Rhein. Berg. Kreis e. V. (Bergisch Gladbach);nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Montessori Kita Nussbaum;Reuterstr. 237;51467;Bergisch Gladbach;nussbaum@montessori-Kita.de;02204-53549;Montessori-Elternverein e.V. ;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kita MiniMäx (Miltenyi);Friedrich-Ebert-Str. 68;51429;Bergisch Gladbach;foerderungsmanagement@educcare.de;0221 466 194 00;Berg. Gladbach - educcare Bildungskindertagesstätten gGmbH;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Kindertagesstätte Schildgen;Altenberger Dom-Str. 210;51467;Bergisch Gladbach;kita-schildgen@awo-rhein-oberberg.de;02202-981762;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kindertagesstätte im Zentrum für Aktion und Kultur;Reginharstr. 40;51429;Bergisch Gladbach;familienzentrum-zak@froebel-gruppe.de;02204- 978814;FRÖBEL NRWgGmbH;ja;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Waldkindergarten Frankenforst;Brüderstraße 53;51427;Bergisch Gladbach;walkdkiga-frankenforst@awo-rhein-oberberg.de;02204-201440 u. 0160-8808680;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Kita Rasselbande;St.-Konrad-Str. 14;51469;Bergisch Gladbach;Kita.Rasselbande@web.de;02202/50958;Rasselbande e. V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
AWO-Waldkindergarten Dombach;Rheinhöhenweg 9;51465;Bergisch Gladbach;waldkiga-dombach@awo-rhein-oberberg.de;02202-245236  und 0171-1160677;Arbeiterwohlfahrt Kreisverband Rhein-Oberberg e.V.;nein;Stadtverw. Bergisch Gladbach;An der Gohrsmühle 18;51465;Bergisch Gladbach
Städt. Tageseinrichtung für KinderAdolf-Kolping-Hof;Adolf-Kolping-Hof 1;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten St. Hermann Josef;Hermann-Josef-Straße  25;41812;Erkelenz;kath.kita.gerderath@t-online.de;02432/6316;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten St. Stephanus;Am Kloster  14;41812;Erkelenz;kita-golkrath@christkoenig-erkelenz.de;02431/4231;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten St. Cosmas und Damian;Seilerweg 22;41812;Erkelenz;kita-keyenberg@christkoenig.de;02164/4418;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten St. Servatius Kückhoven;In Kückhoven 23 b;41812;Erkelenz;kita-kueckhoven@christkoenig-erkelenz.de;02431/6333;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten St. Pauli Bekehrung (Lövenich-Katzem);Kirchplatz 37;41812;Erkelenz;kita-loevenich@christkoenig-erkelenz.de;02435/2713;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. kombinierteTageseinrichtung für Kinder Westpromenade;Westpromenade 5;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;ja;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten St. Lambertus;Brückstr. 69;41812;Erkelenz;kita-erkelenz@christkoenig-erkelenz.de;02431/3577;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Kindergarten Heilig Kreuz;An der Anlage 1;41812;Erkelenz;kita-keyenberg@christkoenig-erkelenz.de;02164/48408;Kath. Kirchengemeinde Christkönig Erkelenz;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Ev. Kindergarten Schwanenberg;In der Schlei 2;41812;Erkelenz;evkita.schwanenberg@t-online.de;02431/3201;Ev. Kirchengemeinde Schwanenberg;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Tageseinrichtung für Kinder Gerderath;Genenderstraße 74;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;ja;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Tageseinrichtung für Kinder Hagelkreuz;Am Hagelkreuz 53;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Tageseinrichtung für Kinder Granterath;Brunnenstraße 24;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Tageseinrichtung für Kinder Hetzerath;Hatzurodestraße 21;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;0241/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Kindergarten Lövenich;Am Lerchenpfad 7a;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Kindergarten Buscherhof;Buscherkamp 62;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Kindergarten Bauxhof;Bauxhof 38;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Tageseinrichtung für Kinder Venrath;An St. Valentin 4;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städtischer Kindergarten Kückhoven;Servatiusstraße 18;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. integrative Tageseinrichtung Oerather Mühlenfeld;Issumer Ring 10;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Johanniter Kindertagesstätte Erkelenz;Karolinger Ring 250;41812;Erkelenz;claudia.albrecht@johanniter.de;02431-981888;Johanniter-Unfall-Hilfe e.V. Regionalverband Aachen-Heinsberg ;ja;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
"Wald- und Naturkindergarten &quot;Wühlmäuse&quot;";Bruchstraße 99;41812;Erkelenz - Lövenich;vorstand@waki-wuehlmaeuse.de;02435 9809511;Euregio-Waldkindergarten gUG;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Städt. Tageseinrichtung für Kinder Immerath -neu-;Jackerather Straße - neu - 1;41812;Erkelenz;hildegard.neuhauss@erkelenz.de;02431/85349;Stadtverwaltung -Jugendamt-;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Wald-und Naturkindergarten Waldfüchse;Weidbruchsweg 100;41812;Erkelenz-Gerderath;vorstand@waki-wuehlmaeuse.de;02435 9809511;Euregio-Waldkindergarten gUG;nein;Stadtverw. Erkelenz. Amt für Kinder. Jugend. Familie und Soziales;Johannismarkt 17;41812;Erkelenz
Kath. Tageseinrichtung für Kinder Christus-König;Pastor Josef Borgmann Str. 2;52477;Alsdorf;kiga.christus.koenig@t-online.de;20178;Kath. Kirchengemeindeverband Alsdorf;nein;Stadtverw. Alsdorf;Hubertusstraße 17;52477;Alsdorf
Kath. Tageseinrichtung für Kinder St. Castor;Im Brühl 3;52477;Alsdorf;kiga.st.castor@t-online.de;25052;Kath. Kirchengemeindeverband Alsdorf;nein;Stadtverw. Alsdorf;Hubertusstraße 17;52477;Alsdorf
Familienzentrum i.Verbund EVA-Mitte;Bodelschwinghweg  2;52477;Alsdorf;leitung@ev-kiga-alsdorf-mitte.de;02404 23450;Ev. Kindergartenverein Alsdorf e.V.;ja;Stadtverw. Alsdorf;Hubertusstraße 17;52477;Alsdorf
Familienzentrum i.Verbund EVA-Ofden;Theodor-Seipp-Straße 44 c;52477;Alsdorf;leitung@ev-kiga-alsdorf-ofden.de;02404 24850;Ev. Kindergartenverein Alsdorf e.V.;ja;Stadtverw. Alsdorf;Hubertusstraße 17;52477;Alsdorf
Kath. Tageseinrichtung für Kinder St. Josef;Gleiwitzer Str. 2a;52477;Alsdorf;kiga-st.josef@t-online.de;24343;Kath. Kirchengemeindeverband Alsdorf;nein;Stadtverw. Alsdorf;Hubertusstraße 17;52477;Alsdorf
